PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
352," Wortham, Donald W.",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Social Science,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
353,"Rabinowitz, Stuart ",Y,Male,Silent Generation,70-79,Yes,No,Yes,Law,Traveler,15+,Dean,"Private not-for-profit, 4-year or above","10,000 - 19,999",$.1K - $1K,$10K - $100K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
354," Gray, Nancy Oliver",Y,Female,Not available,Not available,No,No,No,Not available,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
360,"Chapdelaine, Andrea E. ",Y,Female,Generation X,50-59,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
362,"Knapp, John C. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Religion,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
363,"Derry, John L. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
365," Mullen, Shirley A",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traditionalist,11-15,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
366,"Sloan, Robert B.  Jr.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Religion,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
367,"Furr, James H. ",Y,Male,Not available,Not available,Yes,Yes,No,Religion,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
368,"Ellis, William",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
370,"Hodges, Stephen ",Y,Male,Generation X,40-49,Yes,No,Yes,Science/Math,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$0K - $.1K,Special Focus Four-Year: Business & Management Schools,Not a Land Grant Institution,University Presidents
371,"Rossbacher, Lisa ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
372,"Humphreys, Robert ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$.1K - $1K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
373,"West, J. Cameron ",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traveler,Not available,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
374,"Emberton, Sherilyn ",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
376," Clark, Robert A.",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$0K - $.1K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
377,"Vailas,  Arthur C. ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,11-15,Not available,"Public, 4-year or above","10,000 - 19,999",$1K - $10K,$1K - $10K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
378," Farley, Barbara",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Outsider,Not available,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
